date,temp_max_C,temp_max_C_lower80,temp_max_C_upper80,temp_min_C,temp_min_C_lower80,temp_min_C_upper80,precip_mm,precip_mm_lower80,precip_mm_upper80,rel_humidity_pct,rel_humidity_pct_lower80,rel_humidity_pct_upper80,sun_hours,sun_hours_lower80,sun_hours_upper80
2025-08-01,21.065103846971205,20.083589822241336,22.046617871701073,12.821303965281853,12.101071536948536,13.54153639361517,274.1195172855525,200.65308080109696,347.585953770008,77.40483853627723,69.53612619390927,85.27355087864518,4.19673262880748,2.7661468579544444,5.627318399660515
2025-09-01,21.94238089621617,20.813396733697406,23.071365058734937,12.339648858920897,11.50264340489323,13.176654312948566,196.2547642910941,114.1346331987462,278.374895383442,73.08568386902594,64.77578332705062,81.39558441100127,5.010465312040014,3.52317825997554,6.497752364104489
2025-10-01,23.312791260637923,22.13636225207989,24.489220269195954,11.834796703372326,10.916486024353956,12.753107382390697,30.8173102276725,-53.77704243176708,115.41166288711207,56.82866345650274,48.46941474896229,65.18791216404318,8.147018815477242,6.655242243503391,9.638795387451093
2025-11-01,23.52613711460142,22.333697806133724,24.718576423069113,10.061705672878553,9.084309819500854,11.039101526256252,9.069421974220486,-76.26859093740252,94.4074348858435,52.85798098019794,44.4932001892476,61.22276177114827,9.454644887957192,7.962507379871336,10.946782396043048
2025-12-01,23.595409072376135,22.398079027521934,24.792739117230337,9.429386913301203,8.408010442154373,10.450763384448033,0.9499279460426968,-84.61460075524496,86.51445664733035,51.07473124835606,42.710512947250464,59.438949549461654,9.806915781636125,8.314766551780794,11.299065011491455
2026-01-01,24.23213707533667,23.035266680109487,25.429007470563853,9.881605956091956,8.827007007317393,10.93620490486652,0.9894624862806293,-84.64377268945871,86.62269766201997,48.776189269462144,40.42246811254516,57.129910426379126,9.617282839722002,8.125348576537503,11.1092171029065
2026-02-01,25.345406901463143,24.147989673242606,26.54282412968368,11.27894243716463,10.199039917238832,12.35884495709043,22.456747496863713,-63.19657815372621,108.11007314745363,48.54690971125291,40.19318739286642,56.9006320296394,8.955078911914487,7.4631444595380465,10.447013364290928
2026-03-01,25.46485600468093,24.267252129479363,26.662459879882494,12.708891245747015,11.609537606335028,13.808244885159002,68.12527051462374,-17.168425658303903,153.41896668755138,53.17128745663314,44.81756610977288,61.52500880349339,7.421382571317866,5.929448103862109,8.913317038773624
2026-04-01,25.305200641595516,24.107532197908505,26.502869085282526,13.115210432572363,12.000828705484214,14.229592159660513,106.19376433462995,21.010655641302293,191.3768730279576,60.20373844500415,51.85001738816427,68.55745950184404,6.867524401204008,5.375589932553479,8.359458869854537
2026-05-01,25.45393477794207,24.256244276713957,26.651625279170183,13.436455117555731,12.310419350912529,14.562490884198933,85.14267323914714,-0.006511496340593226,170.29185797463487,58.622984202823346,50.26926320594843,66.97670519969826,7.715999966058348,6.224065497313883,9.207934434802812
2026-06-01,23.99485334206117,22.797156038164342,25.192550645957997,12.997410436241617,11.862312026637508,14.132508845845727,139.9608883085004,54.82210167487945,225.09967494212134,68.98161270669401,60.62789172195423,77.33533369143379,6.471833165681561,4.9798986969315004,7.963767634431622
2026-07-01,21.99932799932679,20.801630705711172,23.19702529294241,12.896107961158782,11.753947284903212,14.038268637414351,254.31893446650147,169.18333430968664,339.4545346233163,78.84122967737879,70.4875087075076,87.19495064724998,4.1967478773431806,2.7048134086143163,5.688682346072045
2026-08-01,21.292291894035895,20.09091468922512,22.49366909884667,12.874523876440042,11.68413372589726,14.064914026982825,267.27865589860596,181.74849049337502,352.8088213038369,78.94431767115503,70.58713449164937,87.3015008506607,3.9059327033794458,2.4075873202151543,5.404278086543737
2026-09-01,22.15792998362463,20.955388129647222,23.360471837602038,12.39086637506816,11.178153192922913,13.603579557213408,192.4683233305521,106.83994128413745,278.0967053769667,73.32532401770317,64.96774290135393,81.6829051340524,5.241040868158175,3.7421784229004613,6.739903313415888
2026-10-01,23.33412099554834,22.131236870937474,24.537005120159204,11.920129779366809,10.690180579318577,13.15007897941504,28.7215017707101,-56.93694633030527,114.37994987172547,59.112990378007495,50.75537259609774,67.47060815991725,7.621507619191872,6.122603436898712,9.120411801485034
2026-11-01,23.576907130333602,22.374094363353766,24.779719897313438,10.08262069124345,8.839311558517212,11.32592982396969,7.909384584479593,-77.7582709112623,93.5770400802215,53.863575567404204,45.50603351132601,62.2211176234824,9.561383082576453,8.062476206260884,11.060289958892023
2026-12-01,23.627805070544785,22.42556257295106,24.83004756813851,9.410690787362032,8.15699619789579,10.664385376828275,0.3078431500173674,-85.36261009434462,85.97829639437934,50.15114365458559,41.794304926102264,58.507982383068914,10.048645520547765,8.54974683815567,11.54754420293986
2027-01-01,24.224836331699546,23.024503316639887,25.425169346759205,9.893294255157686,8.631506151905599,11.155082358409773,0.6340662818712399,-85.03667398342331,86.3048065471658,48.591809953965665,40.24108908704886,56.94253082088247,9.642580953993592,8.143786993652325,11.14137491433486
2027-02-01,25.430557159832517,24.230335361174216,26.63077895849082,11.290410946609743,10.022379297661187,12.558442595558299,22.260034441375605,-63.4099067697224,107.92997565247362,46.78757111644364,38.436854574424125,55.13828765846315,9.425072640666247,7.926278679573951,10.923866601758544
2027-03-01,25.49807206035091,24.297894023042346,26.698250097659475,12.745488708865569,11.472578479793821,14.018398937937317,68.01638914301829,-17.28694160879735,153.31971989483392,53.32206639838198,44.97135099443561,61.672781802328345,7.47572784309791,5.9769338820485824,8.974521804147237
2027-04-01,25.398912925521927,24.1987511977262,26.599074653317654,13.130394599752579,11.853668574363475,14.407120625141683,106.13349811054395,20.942905508809943,191.32409071227795,56.370295595608,48.01958042583379,64.7210107653822,7.424954793280563,5.9261608322463974,8.923748754314728
