date,temp_max_C,temp_max_C_lower80,temp_max_C_upper80,temp_min_C,temp_min_C_lower80,temp_min_C_upper80,precip_mm,precip_mm_lower80,precip_mm_upper80,rel_humidity_pct,rel_humidity_pct_lower80,rel_humidity_pct_upper80,sun_hours,sun_hours_lower80,sun_hours_upper80
2026-06-01,25.04784260478752,23.923889573482008,26.17179563609303,12.878757254214978,12.112536916851745,13.644977591578211,148.1991009503348,89.64261976912414,206.75558213154548,65.45151448315777,57.89455181713532,73.00847714918021,5.618199364394219,4.150548252605168,7.085850476183271
2026-07-01,22.319102986579455,21.15513998316626,23.48306598999265,12.917823077866988,12.080066397525272,13.755579758208704,300.887769528047,241.56939948469568,360.2061395713983,77.89866722856446,69.99703639428517,85.80029806284375,2.967051824819922,1.4993030405261516,4.434800609113692
2026-08-01,21.97173196583553,20.78390697334719,23.159556958323872,12.860409936468795,11.973210535221815,13.747609337715774,279.34805974064653,219.92680095962345,338.7693185216696,77.6001053780424,69.66708108732358,85.53312966876122,3.1678380008095672,1.700089203515544,4.63558679810359
2026-09-01,22.852840461680906,21.650621011345457,24.055059912016354,12.28868289995914,11.366449208350575,13.210916591567704,216.4295172690263,156.99427577661262,275.86475876143993,72.83079700927873,64.89485008446343,80.76674393409402,4.598117238010965,3.130368440715211,6.065866035306719
2026-10-01,23.978326096829843,22.7673667105989,25.189285483060786,11.72786383698746,10.780428641938697,12.675299032036223,32.68980314375493,-26.747340233169396,92.12694652067925,59.61054669694223,51.6743272295948,67.54676616428965,6.915458955941935,5.4477101586461805,8.383207753237688
2026-11-01,24.442901029319135,23.226614670724494,25.659187387913775,9.917635351127004,8.951894252169282,10.883376450084725,6.135817062406043,-53.301585025700696,65.57321915051278,53.729809268811096,45.79356524490211,61.66605329272008,9.214487297133836,7.746738499838891,10.68223609442878
2026-12-01,24.48881547696608,23.269274919246197,25.708356034685966,9.522072494609558,8.542946630203016,10.5011983590161,1.0349707541434912,-58.40246630434491,60.4724078126319,50.85249183502067,42.91625486402299,58.788728806018355,9.367807310485755,7.9000585192673185,10.835556101704192
2027-01-01,25.04741607127951,23.82588529111152,26.268946851447502,9.683350873724489,8.694413488937125,10.672288258511854,1.097424156710936,-58.33972346463853,60.5345717780604,50.2721633722536,42.33602731703526,58.20829942747194,9.451202239559152,7.983499102360996,10.918905376757307
2027-02-01,26.593975663223585,25.37122677216428,27.81672455428289,11.426583909628084,10.43044988592646,12.422717933329707,19.956617416989825,-39.46822493271233,79.38145976669199,46.3301327593583,38.393996711310905,54.266268807405694,9.372244518563084,7.90454138175106,10.83994765537511
2027-03-01,25.819641389946558,24.596146335187335,27.04313644470578,12.780720285816269,11.779270641118464,13.782169930514074,72.33634992014382,13.157869932178002,131.51482990810962,56.316053895969304,48.379917851902775,64.25218994003583,7.121635692010591,5.653932555198683,8.5893388288225
2027-04-01,26.427347652619698,25.20339538644688,27.651299918792517,13.108031584975095,12.102649124865032,14.113414045085158,99.3896038967731,40.244712666944686,158.5344951266015,52.528141732101574,44.59200568883828,60.46427777536487,7.351314472425237,5.883611335613328,8.819017609237145
2027-05-01,26.329762068833524,25.105529593281286,27.553994544385763,13.463695366934108,12.455399644964062,14.471991088904153,94.95355669195852,35.81323589209177,154.09387749182528,57.583799495861065,49.647663452724636,65.51993553899749,7.012843248414136,5.545140111602227,8.480546385226043
2027-06-01,24.6818925626386,23.403425071477635,25.960360053799562,12.773726690465756,11.741716351251766,13.805737029679745,145.62646327410667,86.19754589494106,205.05538065327227,65.62262465138939,57.563979227267986,73.68127007551078,5.972038071443697,4.494804602495649,7.449271540391744
2027-07-01,21.976370456288144,20.693204004763807,23.259536907812482,12.828505072044042,11.788950240447294,13.86805990364079,299.9389053352106,240.50251698347134,359.3752936869499,78.66951465868779,70.59953409565092,86.73949522172465,3.07112065047799,1.593885917088835,4.548355383867145
